stn,stn_nam,network,lat,lon,ele,styr,enyr,per_na_prcp,per_na_tmin,per_na_tmax
148,BLACKPINE,FLNRO-WMB,56.319,-125.368,1126,1995,2023,13.566,100,100
149,BEAR LAKE,FLNRO-WMB,54.509,-122.691,739,1988,2023,18.943,100,100
15092,Bradner Road,MoTIe,49.076,-122.425,110,2005,2023,3.013,7.767,7.767
15093,Nicolum Creek,MoTIe,49.363,-121.356,244,2002,2023,2.765,10.929,10.929
151,NABESHE,FLNRO-WMB,56.364,-123.366,1108,1995,2023,37.416,100,100
15122,Hells Gate Roadside,MoTIe,49.757,-121.418,280,2007,2023,3.091,13.439,13.439
15123,Hells Gate,MoTIe,49.792,-121.429,1005,1977,2016,24.329,38.793,38.793
15124,Jackass,MoTIe,50.076,-121.548,350,1996,2023,10.87,18.871,18.871
152,SIFTON,FLNRO-WMB,57.852,-126.117,985,1995,2023,25.357,100,100
153,MCLEOD LAKE,FLNRO-WMB,54.726,-123.077,915,1994,2023,27.417,100,100
15321,Foundation Mines,MoTIe,49.23,-121.084,1650,1988,2023,12.737,40.267,40.267
15322,Allison Pass Remote Raws,MoTIe,49.115,-120.87,1340,1991,2003,13.482,42.821,42.821
15392,Allison Pass,MoTIe,49.116,-120.867,1340,2003,2023,3.774,32.216,32.216
154,WITCH,FLNRO-WMB,55.023,-124.265,1030,1994,2023,30.4,100,100
155,MACKENZIE FS,FLNRO-WMB,55.304,-123.135,690,1994,2023,12.984,100,100
156,SUSTUT,FLNRO-WMB,56.329,-127.034,871,1995,2023,19.346,100,100
158,VANDERHOOF,FLNRO-WMB,54.056,-124.01,678,1996,2023,2.007,100,100
159,NORTH CHILCO,FLNRO-WMB,54.155,-123.754,850,1995,2023,14.66,100,100
161,GRASSY PLAINS,FLNRO-WMB,53.947,-125.867,944,1989,2023,7.031,100,100
162,HOUSTON(DUNGATE),FLNRO-WMB,54.412,-126.627,608,1989,2023,4.923,100,100
163,LOVELL COVE,FLNRO-WMB,55.688,-126.051,990,1994,2023,32.046,100,100
165,MOOSE LAKE,FLNRO-WMB,53.072,-125.412,1109,1991,2023,18.444,100,100
166,KLUSKUS,FLNRO-WMB,53.383,-124.512,1137,1991,2023,20.019,100,100
167,AUGIER LAKE,FLNRO-WMB,54.363,-125.52,900,1904,2023,80.544,100,100
169,UPPER FULTON,FLNRO-WMB,55.033,-126.8,900,1991,2023,23.992,100,100
170,EAST OOTSA,FLNRO-WMB,53.502,-125.772,1089,1989,2023,23.913,100,100
171,LEO CREEK,FLNRO-WMB,55.082,-125.477,915,1994,2023,28.333,100,100
172,NILKITKWA,FLNRO-WMB,55.553,-126.578,978,1991,2023,21.36,100,100
173,NORTH BABINE,FLNRO-WMB,55.137,-126.212,951,1991,2023,22.771,100,100
175,BEDNESTI,FLNRO-WMB,53.865,-123.323,858,1995,2023,19.374,100,100
178,PEDEN,FLNRO-WMB,53.987,-126.522,747,1989,2023,20.399,100,100
179,NADINA,FLNRO-WMB,53.943,-126.928,954,1989,2023,20.751,100,100
18,ZZ CAYCUSE RIVER,FLNRO-WMB,48.8,-124.5,4,1971,1988,58.069,58.069,58.069
180,MCBRIDE LAKE,FLNRO-WMB,54.07,-127.402,815,1993,2023,18.648,100,100
181,BURNS LAKE 850M,FLNRO-WMB,54.257,-125.755,830,1994,2023,2.738,100,100
182,GANOKWA,FLNRO-WMB,54.805,-126.948,855,1994,2023,4.425,100,100
183,ZZ PARROTT L/O-1250,FLNRO-WMB,54.018,-126.385,1259,1995,2023,52.102,100,100
185,ZZ HUDTA LAKE,FLNRO-WMB,53.6,-123,7,1971,1986,58.411,58.411,58.411
187,HIXON,FLNRO-WMB,53.426,-122.591,615,1988,2023,15.927,100,100
189,CHILAKO,FLNRO-WMB,53.494,-123.609,814,1991,2023,20.635,100,100
19,MENZIES CAMP,FLNRO-WMB,50.049,-125.789,438,1992,2023,7.726,100,100
190,JERRY,FLNRO-WMB,53.527,-122.106,997,1991,2023,23.382,100,100
191,MCGREGOR,FLNRO-WMB,54.078,-121.827,638,1989,2013,29.321,29.112,29.112
192,MCGREGOR 2,FLNRO-WMB,53.929,-120.636,975,1995,2023,13.897,100,100
193,BOWRON HAGGEN,FLNRO-WMB,53.463,-121.559,945,1991,2023,24.165,100,100
194,VALEMOUNT 1,FLNRO-WMB,52.87,-119.297,797,1989,2021,13.934,100,100
195,MCBRIDE,FLNRO-WMB,53.295,-120.152,716,1989,2023,8.924,100,100
199,CATFISH,FLNRO-WMB,53.577,-120.857,866,1994,2023,16.184,100,100
1A01P,Yellowhead,ENV-ASP,52.9,-118.55,1860,1996,2008,2.772,2.568,2.568
1A02P,McBride (Upper),ENV-ASP,53.3,-120.333,1620,1971,2008,86.341,80.17,80.17
1A03P,Barkerville,ENV-ASP,53.05,-121.483,1520,1968,2008,57.144,49.62,49.62
1A17P,Revolution Creek,ENV-ASP,53.783,-120.367,1690,1984,2008,4.319,3.125,3.125
1B01P,Mount Wells,ENV-ASP,53.729,-126.418,1490,1992,2008,18.117,11.126,11.126
1B02P,Tahtsa Lake,ENV-ASP,53.587,-127.651,1300,1992,2008,28.313,15.709,15.709
1B08P,Mount Pondosy,ENV-ASP,53.165,-126.876,1400,1992,2008,27.532,12.405,12.405
1C12P,Green Mountain,ENV-ASP,50.8,-122.917,1780,1993,2008,12.174,10.203,10.203
1C18P,Mission Ridge,ENV-ASP,50.767,-122.2,1850,1969,2008,54.247,41.242,41.242
1C20P,Boss Mountain Mine,ENV-ASP,52.117,-120.867,1460,1993,2008,5.001,5.694,5.694
1C41P,Yanks Peak East,ENV-ASP,52.833,-120.35,1670,1996,2008,6.935,3.111,3.111
1D15P,Great Bear,ENV-ASP,49.6,-121.183,1660,1992,2008,11.841,6.845,6.845
1D17P,Chilliwack River,ENV-ASP,49.033,-121.717,1600,1991,2008,15.12,9.782,9.782
1D19P,Spuzzum Creek,ENV-ASP,49.667,-121.65,1180,1998,2008,6.997,1.338,1.338
1E08P,Azure River,ENV-ASP,52.617,-119.717,1310,1996,2008,6.612,3.499,3.499
1E10P,Kostal Lake,ENV-ASP,52.2,-120.033,1770,1984,2008,8.478,4.779,4.779
1F03P,Park Mountain,ENV-ASP,50.45,-118.617,1890,1985,2008,6.7,4.139,4.139
20,ZZ GOLD RIVER VAN. IS.,FLNRO-WMB,49.8,-126.1,6,1970,1997,57.669,57.669,57.669
200,VALEMOUNT 2,FLNRO-WMB,52.788,-119.315,1195,1993,2023,21.392,100,100
201,HOLMES,FLNRO-WMB,53.345,-119.713,1179,1994,2022,26.99,100,100
202,TONQUIN -PARKS,FLNRO-WMB,52.703,-118.47,1667,1997,2009,24.972,24.527,24.527
204,ZZ BEGBIE L/O,FLNRO-WMB,51.4,-121.7,11,1970,1991,77.522,77.522,77.522
206,TAUTRI,FLNRO-WMB,52.535,-123.25,1085,1990,2023,22.371,100,100
208,TATLA LAKE,FLNRO-WMB,51.907,-124.605,945,1990,2023,5.668,100,100
209,ALEXIS CREEK,FLNRO-WMB,52.077,-123.272,791,1904,2023,73.095,100,100
21,WOSS CAMP,FLNRO-WMB,50.2,-126.6,70,1989,2023,3.437,100,100
210,RISKE CREEK,FLNRO-WMB,51.96,-122.51,884,1992,2023,16.946,100,100
21091,Walloper,MoTIe,50.529,-120.478,1300,2002,2023,2.006,27.93,27.93
211,NAZKO,FLNRO-WMB,52.958,-123.596,910,1995,2023,17.753,100,100
21123,Barriere,MoTIe,51.113,-120.136,390,1999,2023,3.034,18.275,18.275
212,PLACE LK.,FLNRO-WMB,51.817,-122,1065,1988,2023,20.501,100,100
213,ANAHIM LAKE,FLNRO-WMB,52.457,-125.303,1096,1990,2023,5.811,100,100
216,NEMIAH,FLNRO-WMB,51.48,-123.818,1220,1991,2023,16.382,100,100
218,LONE BUTTE,FLNRO-WMB,51.507,-121.162,1158,1990,2023,8.953,100,100
22096,Malakwa,MoTIe,50.934,-118.789,335,1999,2023,16.418,31.301,31.301
221,BALDFACE,FLNRO-WMB,52.71,-124.482,1666,1992,2023,16.994,100,100
22123,Squilax,MoTIe,50.873,-119.571,366,1997,2023,4.302,15.194,15.194
222,GASPARD,FLNRO-WMB,51.452,-122.662,1675,1992,2023,13.587,100,100
225,KNIFE,FLNRO-WMB,52.065,-121.885,945,1992,2023,24.08,100,100
226,MIDDLE LAKE,FLNRO-WMB,51.702,-124.875,915,1992,2023,21.579,100,100
227,GAVIN,FLNRO-WMB,52.47,-121.742,1081,1992,2023,19.93,100,100
228,BENSON,FLNRO-WMB,52.91,-122.065,1006,1990,2023,20.639,100,100
230,HORSEFLY,FLNRO-WMB,52.33,-121.397,701,1990,2023,12.512,100,100
23097,Kalamalka Lookout,MoTIe,50.211,-119.306,570,1998,2023,1.963,14.092,14.092
232,COLDSCAUR LAKE,FLNRO-WMB,51.725,-120.39,1158,1969,2023,48.479,100,100
233,TALCHAKO (MB),FLNRO-WMB,52.252,-126.028,244,1997,2023,11.076,100,100
234,TIMOTHY,FLNRO-WMB,51.913,-121.389,1161,1998,2023,13.063,100,100
235,YOUNG LAKE,FLNRO-WMB,51.238,-120.998,1170,2001,2023,8.717,100,100
236,MEADOW LAKE,FLNRO-WMB,51.375,-121.717,1070,1988,2023,16.754,100,100
237,ZZ HORSEFLY R/S,FLNRO-WMB,52.2,-121.2,1296,1971,1993,51.779,51.779,51.779
239,CLEARWATER,FLNRO-WMB,51.628,-120.095,396,1990,2023,5.703,100,100
24,ZZ COP,FLNRO-WMB,49.2,-124.6,7,1978,1994,55.678,55.678,55.678
240,ZZ BARRIERE,FLNRO-WMB,51.2,-120.1,4,1977,1992,78.017,100,100
24126,Apex Roadside,MoTIe,49.397,-119.901,1750,1997,2023,5.782,42.45,42.45
24225,Red Bluffs,MoTIe,49.476,-120.624,830,1997,2023,4.036,23.891,23.891
243,EAST BARRIERE,FLNRO-WMB,51.253,-119.882,671,1989,2023,8.567,100,100
244,WINDY MOUNTAIN,FLNRO-WMB,51.67,-120.65,1580,1992,2023,20.82,100,100
245,ZZ COLDSCAUR LAKE DR1,FLNRO-WMB,51.7,-120.4,11,1979,1992,57.652,57.652,57.652
246,ZZ LANG,FLNRO-WMB,51.9,-120.9,11,1980,1994,77.432,77.432,77.432
250,HARBOUR LAKE (MB),FLNRO-WMB,51.523,-119.115,1372,1992,2023,22.133,100,100
25092,Helmer Lake,MoTIe,50.321,-120.637,1385,1998,2023,4.222,35.059,35.059
25093,Larson Hill,MoTIe,49.831,-120.935,1060,2000,2023,1.887,21.368,21.368
251,DECEPTION,FLNRO-WMB,51.967,-120.608,1170,1998,2023,14.471,100,100
25221,Coquihalla Summit,MoTIe,49.594,-121.099,1230,1995,2023,5.774,33.021,33.021
25225,Great Bear,MoTIe,49.596,-121.178,1710,1985,2023,27.045,51.616,51.616
25227,Nak Peak,MoTIe,49.608,-121.092,2030,1986,1997,48.949,85.661,85.661
25229,Little Bear,MoTIe,49.599,-121.178,1660,1989,2023,15.424,56.476,56.476
253,CAHILTY,FLNRO-WMB,50.888,-119.838,1615,1989,2023,19.017,100,100
255,LIKELY RS,FLNRO-WMB,52.615,-121.513,1046,1991,2023,22.168,100,100
257,BLUE RIVER FS,FLNRO-WMB,52.12,-119.298,683,1994,2010,5.893,5.568,5.568
260011,Warfield,ENV-AQN,49.095,-117.747,604,2005,2020,100,58.134,58.134
26123,Carpenter Lake,MoTIe,50.842,-122.445,660,1997,2011,22.578,41.467,41.467
262,BIG VALLEY,FLNRO-WMB,53.262,-121.762,1355,1991,2023,18.515,100,100
26221,Blowdown Peak,MoTIe,50.407,-122.256,2320,1988,2023,35.821,83.852,83.852
26222,Blowdown Mid,MoTIe,50.402,-122.265,1890,1988,2023,31.593,68.4,68.4
26224,Cayoosh Summit,MoTIe,50.38,-122.474,1350,1997,2023,7.128,37.655,37.655
263,MATHEW,FLNRO-WMB,52.91,-120.912,1108,1991,2023,21.484,100,100
264,PRAIRIE CREEK,FLNRO-WMB,52.392,-120.985,1015,1990,2023,26.245,100,100
26501,Fountain Slide,MoTIe,50.74,-121.862,378,2010,2023,3.402,18.823,18.823
266,WELLS GRAY,FLNRO-WMB,52.342,-120.243,975,1995,2023,10.308,100,100
267,BERRY,FLNRO-WMB,51.978,-119.413,1524,1990,2023,25.488,100,100
270,GOSNEL,FLNRO-WMB,52.453,-119.175,1859,1996,2023,12.047,100,100
271,NIAGRA,FLNRO-WMB,52.625,-120.358,910,1995,2005,61.024,60.84,60.84
273,ZZ HAMILTON L/O,FLNRO-WMB,50.1,-120.4,15,1970,1990,69.589,69.507,69.507
275,ZZ KAMLOOPS R/S,FLNRO-WMB,50.7,-120.3,3,1972,1994,65.507,65.507,65.507
279,THYNNE,FLNRO-WMB,49.715,-120.867,1524,1990,2023,19.21,100,100
280,LILLOOET,FLNRO-WMB,50.672,-121.888,402,1989,2023,7.296,100,100
28093,Begbie Summit,MoTIe,51.476,-121.371,1127,2001,2023,4.143,26.485,26.485
281,BOTANIE,FLNRO-WMB,50.4,-121.57,1554,1990,2007,22.044,21.853,21.853
283,BRENDA MINES,FLNRO-WMB,49.868,-119.993,1493,1989,2023,14.671,100,100
286,TURTLE,FLNRO-WMB,50.803,-119.63,640,1991,2023,5.11,100,100
29,ZZ VIEW (FD7),FLNRO-WMB,49.388,-125.333,300,1989,2001,29.694,29.103,29.103
29092,Pennask Summit,MoTIe,49.907,-120.013,1700,1998,2023,3.816,44.5,44.5
291,GLIMPSE,FLNRO-WMB,50.27,-120.288,1311,1990,2023,14.605,100,100
292,D'ARCY,FLNRO-WMB,50.522,-122.498,346,1992,2023,8.121,100,100
294,MERRITT RS,FLNRO-WMB,50.087,-120.746,640,1989,2020,4.081,3.917,3.917
297,LYTTON FS,FLNRO-WMB,50.232,-121.587,295,1994,2009,8.05,7.703,7.703
298,FINTRY,FLNRO-WMB,50.207,-119.48,670,1990,2023,19.086,100,100
2A06P,Mount Revelstoke,ENV-ASP,51.033,-118.15,1830,1992,2008,22.96,14.647,14.647
2A21P,Molson Creek,ENV-ASP,52.233,-118.233,1980,1987,2008,21.699,19.448,19.448
2B06P,Barnes Creek,ENV-ASP,50.067,-118.35,1620,1992,2008,18.001,10.318,10.318
2B08P,St. Leon Creek,ENV-ASP,50.433,-117.7,1800,1992,2008,19.121,9.828,9.828
2C09Q,Morrissey Ridge,ENV-ASP,49.45,-114.967,1800,1987,2008,27.115,20.714,20.714
2C10P,Moyie Mountain,ENV-ASP,49.25,-115.767,1930,1988,2008,46.305,47.232,47.232
2C14P,Floe Lake,ENV-ASP,51.05,-116.133,2090,1992,2008,15.931,10.678,10.678
2D08P,East Creek,ENV-ASP,50.633,-116.933,2030,1987,2008,21.881,19.344,19.344
2E07P,Grano Creek,ENV-ASP,49.55,-118.683,1860,1997,2008,4.258,3.94,3.94
2F05P,Mission Creek,ENV-ASP,49.95,-118.95,1780,1969,2008,22.262,18.958,18.958
2F18P,Brenda Mine,ENV-ASP,49.883,-120,1460,1992,2008,17.581,16.46,16.46
2G03P,Blackwall Peak,ENV-ASP,49.1,-120.767,1940,1967,2008,18.389,20.459,20.459
3,ZZ FRANKLIN R.,FLNRO-WMB,49,-124.7,5,1970,1994,74.2,74.2,74.2
300,GOLDBRIDGE,FLNRO-WMB,50.853,-122.835,731,1998,2008,8.713,8.713,8.713
301,PEMBERTON BASE,FLNRO-WMB,50.381,-122.526,38,2001,2023,3.42,100,100
302,ASPEN GROVE,FLNRO-WMB,49.948,-120.62,1065,1998,2023,6.605,100,100
305,SPARKS LAKE (MB),FLNRO-WMB,50.923,-120.867,1036,1991,2023,16.904,100,100
306,FRENCH BAR (MB),FLNRO-WMB,51.03,-122.255,1341,1992,2023,23.091,100,100
307,LEIGHTON LK,FLNRO-WMB,50.617,-120.837,1204,1989,2023,14.08,100,100
309,GWYNETH LAKE (MB),FLNRO-WMB,50.797,-122.88,1250,1990,2023,20.775,100,100
31091,Hall Creek,MoTIe,49.373,-117.243,860,2001,2023,9.363,29.021,29.021
311,MCLEAN LK.,FLNRO-WMB,50.792,-121.358,1128,1988,2023,7.862,100,100
31321,Southridge,MoTIe,49.418,-117.161,1990,2001,2023,6.355,49.951,49.951
316,NAHATLATCH,FLNRO-WMB,49.902,-122.021,1400,2001,2023,2.233,100,100
317,ALLISON PASS,FLNRO-WMB,49.063,-120.767,1215,1989,2023,10.667,100,100
321,GREENSTONE HUB (WIND),FLNRO-WMB,50.612,-120.64,1829,1989,2023,6.274,100,100
322,AFTON,FLNRO-WMB,50.673,-120.482,780,1989,2023,8.637,100,100
32221,Strawberry Pass,MoTIe,49.204,-117.897,1600,1999,2023,9.289,42.159,42.159
324,ZZ BOSTON BAR,FLNRO-WMB,49.855,-121.435,150,1990,2004,28.213,27.849,27.849
325,STEMWINDER,FLNRO-WMB,49.38,-120.153,579,1990,2008,7.215,6.933,6.933
326,PASKA LAKE,FLNRO-WMB,50.504,-120.674,1440,1999,2023,7.577,100,100
328,PENTICTON RS,FLNRO-WMB,49.518,-119.553,427,1988,2023,4.682,100,100
33093,Anarchist Summit,MoTIe,49.006,-119.314,1097,2000,2023,3.229,24.789,24.789
33099,McCulloch,MoTIe,49.758,-119.126,1220,2001,2023,8.636,34.407,34.407
331,ASHNOLA (MB),FLNRO-WMB,49.14,-120.183,1335,1991,2023,23.774,100,100
33121,Blueberry,MoTIe,49.16,-118.109,1570,1993,2023,16.674,45.479,45.479
33122,Paulson Summit,MoTIe,49.244,-118.052,1535,1997,2023,6.844,42.561,42.561
334,MCCUDDY,FLNRO-WMB,49.148,-119.415,1067,1989,2023,10.314,100,100
336,ZZ IDA BELL LK II,FLNRO-WMB,49.737,-119.177,1250,1987,2004,50.29,49.984,49.984
341,ZZ KAL LK. II,FLNRO-WMB,50.237,-119.277,457,1987,1997,11.339,10.969,10.969
34126,Fish Lake,MoTIe,50.046,-117.179,1080,1999,2023,12.359,40.208,40.208
34128,London Ridge Low,MoTIe,50.046,-117.235,2070,1990,2023,28.537,72.182,72.182
34129,London Ridge High,MoTIe,50.049,-117.229,2160,1990,2011,37.327,80.41,80.41
34224,Lardeau,MoTIe,50.154,-116.968,1097,1995,2023,13.226,42.262,42.262
343,HOWARD,FLNRO-WMB,52.372,-118.659,838,1990,2022,26.61,100,100
344,SEYMOUR ARM (MB),FLNRO-WMB,51.273,-118.915,549,1990,2023,19.898,100,100
345,ZZ BIG MOUTH,FLNRO-WMB,51.829,-118.361,832,1993,2003,53.579,53.579,53.579
346,SALMON ARM,FLNRO-WMB,50.685,-119.235,527,1989,2023,4.596,100,100
34621,Coffee Creek,MoTIe,49.714,-116.907,610,1994,2023,14.988,25.816,25.816
34791,Summit Lake,MoTIe,50.148,-117.592,780,2005,2023,2.526,22.675,22.675
35,ZZ WACO LAKE,FLNRO-WMB,50.2,-126.1,6,1983,1997,57.836,57.836,57.836
350,ZZ TFL 33,FLNRO-WMB,50.92,-118.963,1250,1990,2004,34.911,34.661,34.661
35091,Canal Flats,MoTIe,49.994,-115.761,870,1997,2023,8.36,31.064,31.064
35092,Moyie,MoTIe,49.326,-115.829,975,2002,2023,4.108,21.979,21.979
352,CURWEN CREEK (MB),FLNRO-WMB,50.603,-118.423,1250,1990,2023,29.429,100,100
355,ZZ GOLDSTREAM,FLNRO-WMB,51.745,-118.658,632,1993,2005,30.504,29.904,29.904
361,TSAR CREEK,FLNRO-WMB,51.997,-118.103,1200,1990,2023,16.298,100,100
36124,Morrissey,MoTIe,49.39,-115.023,960,1998,2023,6.735,23.563,23.563
362,MABEL LK II,FLNRO-WMB,50.352,-118.773,488,1904,2023,70.941,100,100
363,REVELSTOKE FS,FLNRO-WMB,51.06,-118.217,680,1995,2023,8.899,100,100
364,ZZ SOR-NIE,FLNRO-WMB,51.471,-118.186,761,1994,2005,38.209,100,100
365,ZZ ORIG CRAWFORD,FLNRO-WMB,50.729,-117.943,1000,1994,2005,26.689,26.376,26.376
366,WHISKEY,FLNRO-WMB,51.065,-116.785,1300,1976,2023,43.083,100,100
367,MARION,FLNRO-WMB,51.042,-116.364,1300,1991,2023,15.242,100,100
37,BEAVER CREEK,FLNRO-WMB,49.377,-124.933,100,1987,2023,14.837,100,100
37091,Vermillion Pit,MoTIe,50.738,-116.176,870,2002,2023,3.667,28.049,28.049
37092,Nordic 2,MoTIe,51.507,-117.422,1041,2003,2023,3.759,33.613,33.613
37121,Kicking Horse,MoTIe,51.315,-116.878,1844,1989,2023,15.119,53.498,53.498
37122,Kicking Horse Solar,MoTIe,51.311,-116.885,1440,1995,2023,13.331,40.483,40.483
37126,Top of Ten Mile 2,MoTIe,51.273,-116.761,1140,2007,2023,2.514,33.384,33.384
37221,Toby Creek,MoTIe,50.455,-116.252,1130,2002,2023,11.944,41.621,41.621
37222,Little Dragon,MoTIe,50.434,-116.32,2380,2010,2023,3.204,58.872,58.872
373,ZZ DRIFTWOOD,FLNRO-WMB,50.846,-116.338,938,1989,2004,8.352,7.999,7.999
374,SUCCOUR CREEK,FLNRO-WMB,51.716,-117.542,1000,1990,2023,14.834,100,100
375,ZZ DONALD CREEK,FLNRO-WMB,51.431,-117.164,1300,1990,2003,37.02,36.59,36.59
376,TABERNACLE S/F (WIND),FLNRO-WMB,51.751,-117.761,2438,1997,2023,18.67,100,100
377,ZZ NAKUSP RS,FLNRO-WMB,50.252,-117.776,651,1989,2003,9.812,9.436,9.436
379,GOLD HILL,FLNRO-WMB,50.366,-117.064,800,1992,2023,15.127,100,100
380,POWDER CREEK,FLNRO-WMB,49.907,-116.855,1019,2001,2023,10.819,100,100
38121,3 Valley Remote,MoTIe,50.927,-118.445,1165,1986,2022,25.049,57.331,57.331
38124,Clanwilliam,MoTIe,50.962,-118.378,610,1999,2023,3.295,21.085,21.085
38222,Corbin Pass Low,MoTIe,51.193,-117.771,1615,1986,2023,16.628,54.032,54.032
38226,Corbin Pass High,MoTIe,51.201,-117.778,2135,1990,2023,26.348,72.599,72.599
38227,Albert Canyon,MoTIe,51.18,-117.765,870,1999,2023,5.904,32.113,32.113
38228,Laurie,MoTIe,51.19,-117.711,2260,2008,2023,4.957,57.717,57.717
383,FALLS CK,FLNRO-WMB,50.383,-117.88,790,2002,2023,8.002,100,100
38323,Caribou Ridge,MoTIe,51.518,-118.462,1740,1988,2023,15.144,56.286,56.286
38324,50 Mile,MoTIe,51.599,-118.601,650,2003,2023,2.964,22.846,22.846
38325,Fred Laing Ridge,MoTIe,52.04,-118.571,1080,1989,2023,16.828,46.929,46.929
38326,Mica,MoTIe,51.958,-118.562,565,2000,2023,3.328,23.897,23.897
384,HOWSER,FLNRO-WMB,50.366,-117.002,1300,1990,2010,25.635,25.297,25.297
38424,Galena Pass,MoTIe,50.708,-117.755,1570,1987,2023,17.855,53.842,53.842
385,DUNCAN,FLNRO-WMB,50.781,-117.18,1376,1992,2023,19.655,100,100
387,TROUT LAKE,FLNRO-WMB,50.621,-117.464,991,1990,2023,19.243,100,100
388,KETTLE II,FLNRO-WMB,49.96,-118.625,1341,1987,2023,27.052,100,100
39,ZZ CATS EARS (FD7),FLNRO-WMB,49.193,-125.385,500,1989,2001,37.903,37.286,37.286
390,BEAVERDELL,FLNRO-WMB,49.457,-119.088,807,1989,2023,7.07,100,100
391,8 MILE,FLNRO-WMB,49.433,-118.578,1338,1993,2023,23.987,100,100
39121,Kootenay Pass,MoTIe,49.058,-117.04,1780,1996,2023,28.382,69.105,69.105
39123,Stagleap,MoTIe,49.072,-117.084,2140,1977,2023,42.548,79.578,79.578
392,GRAND FORKS,FLNRO-WMB,49.031,-118.416,630,1989,2023,4.72,100,100
393,NICOLL,FLNRO-WMB,49.527,-118.36,866,1988,2023,23.639,100,100
394,ROCK CREEK,FLNRO-WMB,49.052,-118.937,609,1991,2023,5.081,100,100
396,OCTOPUS CREEK,FLNRO-WMB,49.699,-118.081,1432,2000,2023,13.16,100,100
398,CRESTON,FLNRO-WMB,49.038,-116.496,683,1989,2014,10.274,100,100
3A22P,Nostetuko River,ENV-ASP,51.25,-124.45,1500,1988,2008,14.918,11.566,11.566
3A24P,Upper Mosley Creek,ENV-ASP,51.783,-124.617,1650,1988,2008,9.176,8.86,8.86
3A25P,Upper Squamish River,ENV-ASP,50.15,-123.433,1340,1989,2008,13.72,13.281,13.281
3B17P,Wolf River (Upper),ENV-ASP,49.7,-125.667,1490,1987,2008,24.234,13.949,13.949
3B23P,Jump Creek,ENV-ASP,48.967,-124.283,1160,1995,2008,14.316,4.744,4.744
3C08P,Burnt Bridge Creek,ENV-ASP,52.483,-126.25,1330,1997,2008,10.01,7.146,7.146
4,ZZ ZEBALLOS,FLNRO-WMB,50,-126.8,2,1970,1995,55.806,55.806,55.806
40,ZZ BARNARD,FLNRO-WMB,48.407,-123.76,23,1991,2005,63.47,62.959,62.959
401,GOATFELL,FLNRO-WMB,49.125,-116.164,1098,1993,2023,9.231,100,100
402,PENDOREILLE,FLNRO-WMB,49.053,-117.413,813,1990,2023,15.161,100,100
404,SMALLWOOD,FLNRO-WMB,49.497,-117.448,997,1991,2023,6.499,100,100
406,SLOCAN,FLNRO-WMB,49.785,-117.44,1230,1991,2023,16.328,100,100
407,NANCY GREENE,FLNRO-WMB,49.254,-117.994,1397,1991,2023,14.309,100,100
408,NORNS (WIND),FLNRO-WMB,49.502,-117.787,2423,1992,2023,21.722,100,100
41091,West Twin Creek,MoTIe,53.44,-120.515,850,2001,2023,4.491,31.423,31.423
41092,Link Creek,MoTIe,55.501,-122.657,730,2002,2023,7.923,37.829,37.829
41093,Whiskers Point,MoTIe,54.904,-122.927,710,2002,2023,6.307,35.992,35.992
41094,Tamarack,MoTIe,53.831,-123.132,715,2003,2023,3.698,26.695,26.695
411,PALLISER,FLNRO-WMB,50.49,-115.658,1100,1997,2023,5.218,100,100
412,ELKO,FLNRO-WMB,49.283,-115.243,775,1997,2023,2.51,100,100
413,ZZ INVERMERE R/S,FLNRO-WMB,50.5,-116,0,1970,1984,58.478,58.478,58.478
417,TOBY,FLNRO-WMB,50.513,-116.055,894,1989,2023,4.369,100,100
418,FLATHEAD 2,FLNRO-WMB,49.071,-114.537,1311,1993,2023,18.562,100,100
419,JOHNSON LAKE,FLNRO-WMB,49.922,-115.737,853,1989,2023,4.557,100,100
42091,Dragon Lake,MoTIe,52.931,-122.439,659,2003,2023,2.809,21.814,21.814
421,DEWAR CREEK,FLNRO-WMB,49.785,-116.383,1608,1993,2023,15.021,100,100
42121,Sliding Mountain,MoTIe,53.157,-121.479,1675,1996,2023,8.294,44.948,44.948
422,ZZ BULL,FLNRO-WMB,49.903,-115.139,1326,1993,2004,29.783,29.783,29.783
423,BAKER HUB (WIND),FLNRO-WMB,49.456,-115.626,2262,1992,2008,15.82,15.694,15.694
425,EMILY CREEK,FLNRO-WMB,50.145,-115.977,1190,2002,2023,1.793,100,100
426,CRANBROOK FS,FLNRO-WMB,49.667,-115.848,996,2001,2023,0.895,100,100
427,NASS CAMP,FLNRO-WMB,55.288,-128.993,191,1989,2023,8.029,100,100
428,KISPIOX,FLNRO-WMB,55.435,-127.647,335,1989,2023,7.227,100,100
429,CEDARVALE,FLNRO-WMB,55.027,-128.313,274,1989,2023,3.774,100,100
43,ZZ NANOOSE,FLNRO-WMB,49.3,-124.2,1,1970,1997,79.399,79.399,79.399
430,VAN DYKE,FLNRO-WMB,56.017,-129.097,305,1992,2023,27.38,100,100
43091,Braden Road,MoTIe,55.782,-120.763,760,2002,2023,2.047,30.621,30.621
431,UPPER KISPIOX,FLNRO-WMB,55.6,-128.042,410,1989,2023,20.758,100,100
432,BELL-IRVING,FLNRO-WMB,56.348,-129.293,450,1995,2023,22.698,100,100
433,CRANBERRY,FLNRO-WMB,55.577,-128.705,500,1995,2023,17.72,100,100
437,NOEL,FLNRO-WMB,55.296,-120.486,988,1996,2023,16.061,100,100
